realdata_balanced_report_date=2026-03-03
git_commit_sha=f0e577e8d0fb20da3870b300e3adefbb3955eb4d
input_jsonl=data/realdata/halueval_spans_train.jsonl
n0_requested=100
n1_requested=100
n0_selected=100
n1_selected=100
label_count_0=100
label_count_1=100
label_count_null=0
unitization_id=sentence_split_v2_min4
unit_count_min=4
unit_count_max=10
unit_count_mean=4.28
vec8_postproc_id_E1=gaussian_proj_d8_seed7_v1
vec8_postproc_matrix_hash_sha256_E1=cad29157b616784f3d4a8439f443e04bd5a7773c17201e7e03862584e9e50dd7
gate3_n_samples_valid_E1=200
gate3_n_samples_missing_E1=0
gate2_h1b_mean_E1=9.46930692411912966e-1
gate2_h1b_p90_E1=1.33859152221636912e0
gate2_h3_total_mean_E1=7.72092164786107593e-2
artifact_path_e1_gate2=runs\realdata_E1_gate2
artifact_path_e1_gate3=runs\realdata_E1_gate3
label_count_report_path=attestations\realdata_ab\2026-03-03_halueval_label_counts.txt

===== Gate3 Missing Reasons (E1) =====
(none)

===== Label-wise Effect Stats (E1 Gate2 samples.csv) =====
{"metrics": {"h1b_closure_error": {"cliffs_delta_label1_vs_label0": -0.0098, "median_label0": 0.9289509723557718, "median_label1": 0.9851922211905242, "n0": 100, "n1": 100, "p_two_sided": 0.905668039847628, "u_stat_min": 4951.0, "z": -0.11850436102561607}, "h3_ratio_total_product": {"cliffs_delta_label1_vs_label0": -0.1352, "median_label0": 0.05903627783993837, "median_label1": 0.038499212287856535, "n0": 100, "n1": 100, "p_two_sided": 0.09883883458997665, "u_stat_min": 4324.0, "z": -1.6505091932536835}}, "source": "runs/realdata_E1_gate2/samples.csv"}

===== Gate2 E1 summary.csv =====
spec_version,method_id,composition_id,dataset_revision_id,code_git_commit,build_target_triple,rustc_version,n_samples_total,n_samples_h1b_present,n_samples_h2_present,n_samples_h3_total_present,h1b_mean,h1b_p90,h1b_max,h2_mean,h2_p90,h2_max,h3_total_mean,h3_total_p90,h3_total_max,h3_loop_mean,h3_loop_p90,h3_loop_max
v4.1.0-ssot.3,rotor_holonomy_telemetry_v1,strict_left_fold_time_reversed_normalize_once_v1,halueval-spans_train_main,unknown,unknown,unknown,200,200,200,200,9.46930692411912966e-1,1.33859152221636912e0,1.41349838653333260e0,8.98369326852277661e-1,1.23771273483094646e0,1.38038726832393910e0,7.72092164786107593e-2,1.91357813618015460e-1,5.35753275644787252e-1,6.19972453047960223e-33,1.21425317675844169e-32,2.30465789934700345e-32

===== Gate3 E1 summary.csv =====
run_id,n_samples_total,n_samples_valid,n_samples_missing,kappa_count_total,tau_count_total,kappa_global_mean,kappa_global_p90,kappa_global_max,tau_global_mean,tau_global_p90,tau_global_max
realdata_E1_proj,200,200,0,456,456,9.26350383766751939e-1,1.16507025660114794e0,1.36403205671495309e0,1.71860960612627529e-33,3.33564993312538842e-33,8.85096112164921724e-33

===== Gate2 E1 samples.csv =====
sample_id,n_ans_units,sample_label,answer_length,h1b_closure_error,h2_loop_max,h2_loop_mean,h2_loop_p90,h3_ratio_total_product,h3_ratio_triangle_loop_max,h3_ratio_triangle_loop_mean,h3_ratio_triangle_loop_p90,missing_even_rotor_steps,loops_considered,loops_used
0,4,1,4,4.28384490011155139e-1,6.08922907296461036e-1,4.74266163201463753e-1,6.08922907296461036e-1,1.98101042804829860e-2,6.51903963784037333e-33,3.49533137017011473e-33,6.51903963784037333e-33,0,2,2
1,4,1,4,6.05612672722734113e-1,5.72049103090845223e-1,4.94107396436867796e-1,5.72049103090845223e-1,3.48340433240492200e-2,1.72156650529688330e-33,1.08855890180793306e-33,1.72156650529688330e-33,0,2,2
2,4,1,4,1.03259312873306452e0,6.40034090445154580e-1,6.06584176804071618e-1,6.40034090445154580e-1,5.69100374652707353e-2,1.94137708298988184e-33,1.69335104427770832e-33,1.94137708298988184e-33,0,2,2
3,4,1,4,1.33550193079734791e0,1.24941974422186508e0,1.22244881065921307e0,1.24941974422186508e0,2.19147456901631177e-1,2.58477738635408509e-32,1.87741806496243568e-32,2.58477738635408509e-32,0,2,2
4,4,1,4,4.29125927309113475e-1,3.60274240837849979e-1,3.49892207259126065e-1,3.60274240837849979e-1,5.36844902430713092e-3,7.64055742825410174e-34,6.33258743407499915e-34,7.64055742825410174e-34,0,2,2
5,5,1,5,7.81087244115882262e-1,7.89993043611538992e-1,5.98888177842369029e-1,7.89993043611538992e-1,1.63649237093599492e-2,2.54423053556083509e-33,1.64837632742635885e-33,2.54423053556083509e-33,0,3,3
6,4,1,4,1.15417251756567563e0,1.33993370702907200e0,1.32261594222710155e0,1.33993370702907200e0,1.52293857237921937e-1,1.06774660113247997e-32,7.65052095928747584e-33,1.06774660113247997e-32,0,2,2
7,6,1,6,1.26467458893122209e0,1.28366491044730369e0,1.08791647816155335e0,1.28366491044730369e0,3.23210879728523914e-1,1.12249265969455326e-32,6.57150687440079904e-33,1.12249265969455326e-32,0,4,4
8,4,1,4,6.82938569838602461e-1,1.13363883921415032e0,7.32161237343952664e-1,1.13363883921415032e0,2.73031323528631006e-2,1.32733928881086211e-32,7.11245180106963982e-33,1.32733928881086211e-32,0,2,2
9,4,1,4,6.56138313257804362e-1,8.97922464885778759e-1,6.66456085248207875e-1,8.97922464885778759e-1,6.08460571617776627e-2,4.89887165607433601e-33,2.86100429195136052e-33,4.89887165607433601e-33,0,2,2
10,4,0,4,6.97432195906748653e-1,7.29402096436651104e-1,7.02009871131116459e-1,7.29402096436651104e-1,1.17843357953541054e-2,4.27133010702762723e-33,4.07802206880165855e-33,4.27133010702762723e-33,0,2,2
11,4,1,4,1.08428092716114177e0,1.41313640584461608e0,1.36947874066369080e0,1.41313640584461608e0,2.62721852952496338e-1,1.05770871939722891e-32,8.32657845633713983e-33,1.05770871939722891e-32,0,2,2
12,4,1,4,1.16972523211364932e0,1.07705370451293225e0,1.03127725480882693e0,1.07705370451293225e0,1.45177202097784230e-1,7.13086237184703532e-33,5.82516382995391766e-33,7.13086237184703532e-33,0,2,2
13,4,1,4,5.78370393294512342e-1,5.29875836280639056e-1,5.08747429474336266e-1,5.29875836280639056e-1,2.62463576226616181e-3,3.00243791481175093e-33,2.58062098415060481e-33,3.00243791481175093e-33,0,2,2
