realdata_balanced_report_date=2026-03-04
git_commit_sha=f0e577e8d0fb20da3870b300e3adefbb3955eb4d
focus_method=E2
input_jsonl=data/realdata/halueval_spans_train.jsonl
n0_requested=200
n1_requested=200
n0_selected=200
n1_selected=200
label_count_0=200
label_count_1=200
label_count_null=0
unitization_id=sentence_split_v2_min4
unit_count_min=4
unit_count_max=10
unit_count_mean=4.285
gate3_n_samples_valid=400
gate3_n_samples_missing=0
artifact_path_gate2=runs\realdata_E2_gate2
artifact_path_gate3=runs\realdata_E2_gate3
label_count_report_path=attestations\realdata_ab\2026-03-04_halueval_label_counts.txt
hf_provenance_path=data\realdata\hf_halueval_provenance.json
hf_provenance_sha256=4ad5bcf6efb426c28ea2823a11aa6c0696f1ea9dcbda42216b3ec6ac3b2da103
vec8_postproc_id=e8_softsnap_chunk48_k3_beta12_v1
e2_k=3
e2_beta=12.0
e2_roots_hash_sha256=32809837b7f82b99c1d28d4783f1107773bafca78c915af54fafa635623cd9c7
e2_root_verify_path=attestations/realdata_ab/2026-03-04_e8_roots_verify.txt
e2_root_verify_sha256_meta=aff8f92c5a1364bb9ad9df60dda4ea869790cd9921832b73534d675f069402ae
e2_root_verify_sha256_file=aff8f92c5a1364bb9ad9df60dda4ea869790cd9921832b73534d675f069402ae
e2_anchor_stats_csv=data\realdata\e2_anchor_stats.csv

===== Gate3 Missing Reasons =====
(none)

===== Label-wise Effect Stats (Gate2) =====
{"label0_rows": 200, "label1_rows": 200, "label_col": "sample_label", "metrics": {"h1b_closure_error": {"cliffs_delta_label1_vs_label0": -0.02105, "median_label0": 1.3763837958511176, "median_label1": 1.376125863319553, "n0": 200, "n1": 200, "p_two_sided": 0.7160750759603215, "u_stat_min": 19579.0, "z": -0.3637093294228606}, "h2_loop_mean": {"cliffs_delta_label1_vs_label0": 0.06375, "median_label0": 1.103887385195187, "median_label1": 1.1077413200172859, "n0": 200, "n1": 200, "p_two_sided": 0.27029986107731335, "u_stat_min": 18725.0, "z": -1.1023722719368272}, "h3_ratio_total_product": {"cliffs_delta_label1_vs_label0": -0.0484, "median_label0": 0.8034878239859251, "median_label1": 0.7951603313999591, "n0": 200, "n1": 200, "p_two_sided": 0.40268577718189846, "u_stat_min": 19032.0, "z": -0.8368341883867244}}, "missing_metrics": [], "n_rows": 400, "source": "runs/realdata_E2_gate2/samples.csv"}

===== Label-wise Effect Stats (Gate3) =====
{"label0_rows": 200, "label1_rows": 200, "label_col": "sample_label", "metrics": {"l3_kappa_max": {"cliffs_delta_label1_vs_label0": -0.067, "median_label0": 1.3972268042126101, "median_label1": 1.3946755625841454, "n0": 200, "n1": 200, "p_two_sided": 0.2466218420340079, "u_stat_min": 18660.0, "z": -1.1585936902780543}, "l3_kappa_mean": {"cliffs_delta_label1_vs_label0": -0.04795, "median_label0": 0.9919671541357595, "median_label1": 0.9899959209398703, "n0": 200, "n1": 200, "p_two_sided": 0.40707629353534724, "u_stat_min": 19041.0, "z": -0.8290496843087084}, "l4_tau_max": {"cliffs_delta_label1_vs_label0": -0.1051, "median_label0": 8.713304258765443e-33, "median_label1": 7.973927725236587e-33, "n0": 200, "n1": 200, "p_two_sided": 0.069112795991322, "u_stat_min": 17898.0, "z": -1.8176817022167457}, "l4_tau_mean": {"cliffs_delta_label1_vs_label0": -0.0832, "median_label0": 2.3036686854431736e-33, "median_label1": 2.2740651329200066e-33, "n0": 200, "n1": 200, "p_two_sided": 0.15019704011174093, "u_stat_min": 18336.0, "z": -1.4388358370866317}, "l4_tau_p90": {"cliffs_delta_label1_vs_label0": -0.1108, "median_label0": 4.800525375405558e-33, "median_label1": 4.607269292811334e-33, "n0": 200, "n1": 200, "p_two_sided": 0.055328775605533786, "u_stat_min": 17784.0, "z": -1.9162854205382822}}, "missing_metrics": [], "n_rows": 400, "source": "runs/realdata_E2_gate3/samples.csv"}

===== Label-wise Effect Stats (E2 Anchor) =====
{"label0_rows": 200, "label1_rows": 200, "label_col": "label", "metrics": {"anchor_max": {"cliffs_delta_label1_vs_label0": 0.0512, "median_label0": 0.2116950261373418, "median_label1": 0.21233754310088082, "n0": 200, "n1": 200, "p_two_sided": 0.3760104316305573, "u_stat_min": 18976.0, "z": -0.8852711026499354}, "anchor_mean": {"cliffs_delta_label1_vs_label0": 0.08395, "median_label0": 0.17477653537646226, "median_label1": 0.17545030066107092, "n0": 200, "n1": 200, "p_two_sided": 0.1465544396737857, "u_stat_min": 18321.0, "z": -1.4518100105499916}, "anchor_p90": {"cliffs_delta_label1_vs_label0": 0.04815, "median_label0": 0.20223890146611906, "median_label1": 0.2027475864570828, "n0": 200, "n1": 200, "p_two_sided": 0.4051214385248483, "u_stat_min": 19037.0, "z": -0.8325094638989378}}, "missing_metrics": [], "n_rows": 400, "source": "data/realdata/e2_anchor_stats.csv"}

===== Focus Gate2 summary.csv =====
spec_version,method_id,composition_id,dataset_revision_id,code_git_commit,build_target_triple,rustc_version,n_samples_total,n_samples_h1b_present,n_samples_h2_present,n_samples_h3_total_present,h1b_mean,h1b_p90,h1b_max,h2_mean,h2_p90,h2_max,h3_total_mean,h3_total_p90,h3_total_max,h3_loop_mean,h3_loop_p90,h3_loop_max
v4.1.0-ssot.3,rotor_holonomy_telemetry_v1,strict_left_fold_time_reversed_normalize_once_v1,halueval-spans_train_main,unknown,unknown,unknown,400,400,400,400,1.36426607600700156e0,1.40651186428798769e0,1.41415462990354857e0,1.10525738283748387e0,1.15837632843708294e0,1.20495470889954115e0,7.71741484412419965e-1,9.08371118960071278e-1,9.89558334723424693e-1,8.13810978321515334e-33,9.48251892217530155e-33,1.14440838419485734e-32

===== Focus Gate3 summary.csv =====
run_id,n_samples_total,n_samples_valid,n_samples_missing,kappa_count_total,tau_count_total,kappa_global_mean,kappa_global_p90,kappa_global_max,tau_global_mean,tau_global_p90,tau_global_max
realdata_E2_e8softsnap,400,400,0,18400,18400,9.89467198783650748e-1,1.03641893357463943e0,1.09818259144538533e0,2.30069562758576274e-33,2.72579840051297415e-33,3.69684638090311407e-33

===== Focus Gate2 samples.csv =====
sample_id,n_ans_units,sample_label,answer_length,h1b_closure_error,h2_loop_max,h2_loop_mean,h2_loop_p90,h3_ratio_total_product,h3_ratio_triangle_loop_max,h3_ratio_triangle_loop_mean,h3_ratio_triangle_loop_p90,missing_even_rotor_steps,loops_considered,loops_used
0,48,1,4,1.29390406543924574e0,1.38836963446749007e0,1.13196827543737810e0,1.35808412243783661e0,5.34327754132341237e-1,2.25320162067270856e-32,6.85111202180664751e-33,1.22385315132617441e-32,0,46,46
1,48,1,4,1.36026325195572739e0,1.41189128053992241e0,1.12149547254780346e0,1.33533229407447696e0,8.44658012366631405e-1,3.92739556222010838e-32,1.01319062161408258e-32,1.82583971694383009e-32,0,46,46
2,48,1,4,1.23127539635558247e0,1.41202574490339061e0,1.09556555351431051e0,1.36473687687158596e0,6.35906175461239953e-1,2.01421544860691294e-32,6.82220329213679493e-33,1.35675624865380332e-32,0,46,46
3,48,1,4,1.37787460318759325e0,1.41401094094065360e0,1.12359699581860606e0,1.35613851962632204e0,4.81045180762727287e-1,2.57031361073824464e-32,8.46384042590369025e-33,1.44818776707778182e-32,0,46,46
4,48,1,4,1.38158272922189518e0,1.41046413533366377e0,1.11615367792495657e0,1.38211341237640162e0,8.13390728607298663e-1,2.79004868121356305e-32,6.96101996470457746e-33,1.36427153820729806e-32,0,46,46
5,48,1,5,1.40842581449418880e0,1.39029964868716105e0,1.09289232863413255e0,1.33840699497662152e0,7.22144761259420953e-1,2.44312065064464450e-32,7.17942052878002134e-33,1.46675939072624045e-32,0,46,46
6,48,1,4,1.41275645664652227e0,1.41347802856426941e0,1.12475010251291807e0,1.38568640860081405e0,8.59068386998831701e-1,2.33406080583017237e-32,7.60375941180520609e-33,1.49246433227159006e-32,0,46,46
7,48,1,6,1.25563739193037938e0,1.40353876878380124e0,1.12805193793217051e0,1.38165234560726491e0,5.56368363599407223e-1,1.70257286575906180e-32,7.03487477464737277e-33,1.34568649480413385e-32,0,46,46
8,48,1,4,1.39893410232182180e0,1.39622227842040258e0,1.11476497664225227e0,1.37454644986923724e0,7.51843496615311579e-1,2.45683770274096302e-32,8.42516775274087319e-33,1.73193671704243482e-32,0,46,46
9,48,1,4,1.37808681394683363e0,1.40913081330539369e0,1.20495470889954115e0,1.38516789789067518e0,7.70786465965697554e-1,1.95222135902293967e-32,7.12488188933316795e-33,1.07274453627666905e-32,0,46,46
10,48,0,4,1.36585421866621348e0,1.38938426229983025e0,1.10831946787417102e0,1.32565269761895821e0,9.20258001859807884e-1,2.61740273016285167e-32,1.04653988016312287e-32,1.74772724338849328e-32,0,46,46
11,48,1,4,1.40967745292815239e0,1.41068738843257324e0,1.06489464880969398e0,1.38899635034380808e0,6.53243648961099210e-1,2.48073384995005512e-32,5.54681291643492386e-33,1.01499789492481385e-32,0,46,46
12,48,1,4,1.38208332237018583e0,1.41404045886095364e0,1.10759414543383317e0,1.37375638630013608e0,9.07001162734916599e-1,2.55379205701552858e-32,9.23932378582685693e-33,1.91875092273378748e-32,0,46,46
13,48,1,4,1.40651186428798769e0,1.41134280478989638e0,1.15914011469277889e0,1.38438223522591297e0,9.58253628953977921e-1,4.24164497816004574e-32,9.10398046816575293e-33,1.54759204013545424e-32,0,46,46
14,48,1,5,1.35946837283580213e0,1.41212950511268454e0,1.10800723006690238e0,1.39314207838692661e0,7.68207011891619218e-1,4.00425668739610928e-32,8.61145535346585472e-33,1.31393421973477826e-32,0,46,46
15,48,1,4,1.41306366300169084e0,1.40005309518832255e0,1.10732188024929212e0,1.36321185421881919e0,9.40003667086042438e-1,2.53787812182339411e-32,8.76116974030638008e-33,1.55062859712286485e-32,0,46,46
16,48,1,9,1.39489786040561814e0,1.38656949255416295e0,1.10680181486388896e0,1.34422993963205850e0,6.08989693131320009e-1,2.62194824775622750e-32,9.73811435541525537e-33,2.42591286306625598e-32,0,46,46
17,48,1,4,1.39144925491940041e0,1.41236432581434745e0,1.06733221722209026e0,1.33427746269359870e0,8.35225202231768771e-1,2.92546316360189729e-32,8.66449788723578855e-33,1.76109003951914983e-32,0,46,46
18,48,1,4,1.38322345820184478e0,1.41377217348874473e0,1.15406298407842134e0,1.40367275185549834e0,9.55785119117279147e-1,2.53743158798663329e-32,7.86124613177401642e-33,1.56963352470763335e-32,0,46,46
19,48,1,4,1.40516587504619372e0,1.41308624870710942e0,1.04351022301507945e0,1.38325398604121941e0,8.46800375042593645e-1,2.10904243550675688e-32,6.42464927874946390e-33,1.17707729730995470e-32,0,46,46
20,48,1,5,1.40375621582130772e0,1.40585536728715010e0,1.10991183528863568e0,1.37014449837129648e0,8.73922048666842199e-1,2.38061998695663527e-32,7.32636596638988651e-33,1.34216932942521189e-32,0,46,46
21,48,1,6,1.41196877079787497e0,1.38321706114103482e0,1.03434236374487321e0,1.32944424341515344e0,6.52649175832289874e-1,3.26528219860987634e-32,6.73201862765022917e-33,1.53134077952447375e-32,0,46,46
22,48,1,4,1.41318979866381156e0,1.40960683110193963e0,1.11080946732535391e0,1.37845793764092339e0,8.47487131414558448e-1,2.52546304645150398e-32,9.01644369206646634e-33,2.12017082144734463e-32,0,46,46
23,48,0,4,1.38370054071031889e0,1.40301303904620633e0,1.06320846172660199e0,1.33832140559522306e0,8.22213883018207969e-1,2.02086344680348982e-32,6.55995532217036418e-33,1.14132654938834031e-32,0,46,46
24,48,1,4,1.39298423939625060e0,1.38960288676053145e0,1.11585073856344330e0,1.35843183475152940e0,8.66630230766402776e-1,2.28745024807376171e-32,8.57535281095470626e-33,1.55590526085742784e-32,0,46,46
25,48,1,4,1.38065950559010675e0,1.40305546577264018e0,1.09367801510574680e0,1.37429752698879493e0,8.00297522434834097e-1,1.87139007222809287e-32,8.59124112489300157e-33,1.49702885976377458e-32,0,46,46
26,48,1,4,1.39487794625994455e0,1.41097199359360248e0,1.09383650099021956e0,1.38104225460583008e0,8.60267625218589682e-1,1.74104550431899363e-32,7.00139944827763507e-33,1.39089018086225078e-32,0,46,46
27,48,0,4,1.40303718204367911e0,1.39723597649331732e0,1.05040799532040219e0,1.33806193537782248e0,9.12782094480248496e-1,4.86283065835050799e-32,9.59223903993796218e-33,1.80727940891153061e-32,0,46,46
28,48,1,4,1.37236942102843584e0,1.41064643907665532e0,1.09772149334657909e0,1.38995988660942849e0,8.36562374113698493e-1,2.77164414051257588e-32,7.59301331854433888e-33,1.42838117349052774e-32,0,46,46
29,48,1,4,1.36501230559693010e0,1.40665497870940692e0,1.13735950871976121e0,1.39229094722467317e0,5.59208279824654042e-1,2.29639704180479103e-32,8.29990542763626961e-33,1.40487942533937435e-32,0,46,46
