batch,condition_order,condition,source_condition,encoding,source_row,n,method,round,reps,wall,cpu,calls,transitions
ordering_2026-09-12,0,case_01_recent,law0_recent,recent,0,512,BINARY,0,4,0.02415269985795021,0.015625,6144,76740
ordering_2026-09-12,0,case_01_recent,law0_recent,recent,1,4096,MERGE,0,4,0.04162980057299137,0.046875,49152,614449
ordering_2026-09-12,0,case_01_recent,law0_recent,recent,2,512,STATIC_ANTI,0,32,0.016022599302232265,0.015625,49152,615022
ordering_2026-09-12,0,case_01_recent,law0_recent,recent,3,4096,STATIC_CRN,0,32,0.04209059942513704,0.046875,393216,4911798
ordering_2026-09-12,0,case_01_recent,law0_recent,recent,4,512,STATIC_CRN,0,32,0.014911700040102005,0.015625,49152,611753
ordering_2026-09-12,0,case_01_recent,law0_recent,recent,5,4096,BINARY,0,4,0.12061650026589632,0.109375,49152,614449
ordering_2026-09-12,0,case_01_recent,law0_recent,recent,6,4096,STATIC_ANTI,0,32,0.03995849937200546,0.046875,393216,4919677
ordering_2026-09-12,0,case_01_recent,law0_recent,recent,7,512,MERGE,0,4,0.013361799530684948,0.015625,6144,76740
ordering_2026-09-12,0,case_01_recent,law0_recent,recent,8,512,STATIC_ANTI,1,32,0.01423330046236515,0.015625,49152,609159
ordering_2026-09-12,0,case_01_recent,law0_recent,recent,9,4096,STATIC_ANTI,1,32,0.038838500156998634,0.03125,393216,4914452
ordering_2026-09-12,0,case_01_recent,law0_recent,recent,10,512,MERGE,1,4,0.013242600485682487,0.015625,6144,76760
ordering_2026-09-12,0,case_01_recent,law0_recent,recent,11,512,STATIC_CRN,1,32,0.013771500438451767,0.015625,49152,613505
ordering_2026-09-12,0,case_01_recent,law0_recent,recent,12,512,BINARY,1,4,0.021290299482643604,0.015625,6144,76760
ordering_2026-09-12,0,case_01_recent,law0_recent,recent,13,4096,STATIC_CRN,1,32,0.03960149921476841,0.046875,393216,4909710
ordering_2026-09-12,0,case_01_recent,law0_recent,recent,14,4096,MERGE,1,4,0.03715050034224987,0.03125,49152,614453
ordering_2026-09-12,0,case_01_recent,law0_recent,recent,15,4096,BINARY,1,4,0.11491839960217476,0.09375,49152,614453
ordering_2026-09-12,0,case_01_recent,law0_recent,recent,16,512,STATIC_CRN,2,32,0.013567299582064152,0.015625,49152,615537
ordering_2026-09-12,0,case_01_recent,law0_recent,recent,17,512,STATIC_ANTI,2,32,0.014074000529944897,0.015625,49152,614815
ordering_2026-09-12,0,case_01_recent,law0_recent,recent,18,512,BINARY,2,4,0.020962100476026535,0.015625,6144,76826
ordering_2026-09-12,0,case_01_recent,law0_recent,recent,19,4096,STATIC_CRN,2,32,0.038412599824368954,0.03125,393216,4912101
ordering_2026-09-12,0,case_01_recent,law0_recent,recent,20,4096,MERGE,2,4,0.03594820015132427,0.03125,49152,614525
ordering_2026-09-12,0,case_01_recent,law0_recent,recent,21,4096,STATIC_ANTI,2,32,0.03789149969816208,0.03125,393216,4917171
ordering_2026-09-12,0,case_01_recent,law0_recent,recent,22,4096,BINARY,2,4,0.11435460019856691,0.109375,49152,614525
ordering_2026-09-12,0,case_01_recent,law0_recent,recent,23,512,MERGE,2,4,0.013348800130188465,0.015625,6144,76826
ordering_2026-09-12,0,case_01_recent,law0_recent,recent,24,4096,BINARY,3,4,0.11475490033626556,0.125,49152,614500
ordering_2026-09-12,0,case_01_recent,law0_recent,recent,25,4096,STATIC_ANTI,3,32,0.04015070013701916,0.03125,393216,4921243
ordering_2026-09-12,0,case_01_recent,law0_recent,recent,26,512,BINARY,3,4,0.021636500023305416,0.015625,6144,76647
ordering_2026-09-12,0,case_01_recent,law0_recent,recent,27,512,MERGE,3,4,0.014426999725401402,0.015625,6144,76647
ordering_2026-09-12,0,case_01_recent,law0_recent,recent,28,512,STATIC_CRN,3,32,0.014172100462019444,0.015625,49152,615778
ordering_2026-09-12,0,case_01_recent,law0_recent,recent,29,4096,STATIC_CRN,3,32,0.03877109941095114,0.03125,393216,4902821
ordering_2026-09-12,0,case_01_recent,law0_recent,recent,30,512,STATIC_ANTI,3,32,0.014785600826144218,0.015625,49152,616574
ordering_2026-09-12,0,case_01_recent,law0_recent,recent,31,4096,MERGE,3,4,0.03718560002744198,0.03125,49152,614500
ordering_2026-09-12,0,case_01_recent,law0_recent,recent,32,4096,BINARY,4,4,0.11778930015861988,0.109375,49152,614450
ordering_2026-09-12,0,case_01_recent,law0_recent,recent,33,512,BINARY,4,4,0.02182929962873459,0.015625,6144,76712
ordering_2026-09-12,0,case_01_recent,law0_recent,recent,34,512,STATIC_CRN,4,32,0.013686399906873703,0.015625,49152,614778
ordering_2026-09-12,0,case_01_recent,law0_recent,recent,35,512,STATIC_ANTI,4,32,0.014844000339508057,0.015625,49152,617010
ordering_2026-09-12,0,case_01_recent,law0_recent,recent,36,4096,STATIC_ANTI,4,32,0.038287400268018246,0.03125,393216,4914936
ordering_2026-09-12,0,case_01_recent,law0_recent,recent,37,4096,MERGE,4,4,0.0375918997451663,0.046875,49152,614450
ordering_2026-09-12,0,case_01_recent,law0_recent,recent,38,4096,STATIC_CRN,4,32,0.03816569969058037,0.046875,393216,4916665
