model,surface,shots,demonstration_condition,accuracy,auc,paired_directional_consistency,minimum_stratum_accuracy,classification
Qwen3-4B,P2,4,correct,0.7916666667,1.0000000000,1.0000000000,0.5833333333,SCORE_SIGNAL_ONLY
Qwen3-4B,P2,4,label_shuffled,0.5000000000,0.6250000000,0.7500000000,0.0000000000,SCORE_SIGNAL_ONLY
Qwen3-4B,P2,16,correct,1.0000000000,1.0000000000,1.0000000000,1.0000000000,BEHAVIOR_PASS
Qwen3-4B,P2,16,label_shuffled,0.3750000000,0.5000000000,0.5000000000,0.2500000000,NO_DETECTED_SIGNAL
Qwen3-4B,P2,64,correct,1.0000000000,1.0000000000,1.0000000000,1.0000000000,BEHAVIOR_PASS
Qwen3-4B,P2,64,label_shuffled,0.6666666667,0.7743055556,0.7500000000,0.4166666667,SCORE_SIGNAL_ONLY
Qwen3-4B,P3,4,correct,0.5625000000,0.5451388889,0.5833333333,0.3750000000,NO_DETECTED_SIGNAL
Qwen3-4B,P3,4,label_shuffled,0.5000000000,0.3715277778,0.4583333333,0.0000000000,NO_DETECTED_SIGNAL
Qwen3-4B,P3,16,correct,0.5000000000,0.5902777778,0.5833333333,0.0000000000,NO_DETECTED_SIGNAL
Qwen3-4B,P3,16,label_shuffled,0.5000000000,0.5520833333,0.6250000000,0.0000000000,NO_DETECTED_SIGNAL
Qwen3-4B,P3,64,correct,0.5000000000,0.4513888889,0.5833333333,0.0000000000,NO_DETECTED_SIGNAL
Qwen3-4B,P3,64,label_shuffled,0.5000000000,0.5590277778,0.5833333333,0.0000000000,NO_DETECTED_SIGNAL
Qwen3-8B,P2,4,correct,1.0000000000,1.0000000000,1.0000000000,1.0000000000,BEHAVIOR_PASS
Qwen3-8B,P2,4,label_shuffled,0.5000000000,0.5000000000,0.5000000000,0.0000000000,NO_DETECTED_SIGNAL
Qwen3-8B,P2,16,correct,1.0000000000,1.0000000000,1.0000000000,1.0000000000,BEHAVIOR_PASS
Qwen3-8B,P2,16,label_shuffled,0.6250000000,0.8020833333,1.0000000000,0.5000000000,SCORE_SIGNAL_ONLY
Qwen3-8B,P2,64,correct,1.0000000000,1.0000000000,1.0000000000,1.0000000000,BEHAVIOR_PASS
Qwen3-8B,P2,64,label_shuffled,0.5625000000,0.7013888889,0.9166666667,0.4583333333,SCORE_SIGNAL_ONLY
Qwen3-8B,P3,4,correct,0.6041666667,0.6250000000,0.5833333333,0.2083333333,NO_DETECTED_SIGNAL
Qwen3-8B,P3,4,label_shuffled,0.5000000000,0.5833333333,0.5833333333,0.0000000000,NO_DETECTED_SIGNAL
Qwen3-8B,P3,16,correct,0.4375000000,0.6250000000,0.5833333333,0.1250000000,NO_DETECTED_SIGNAL
Qwen3-8B,P3,16,label_shuffled,0.7500000000,0.6909722222,0.6666666667,0.5833333333,NO_DETECTED_SIGNAL
Qwen3-8B,P3,64,correct,0.5000000000,0.5486111111,0.5833333333,0.0000000000,NO_DETECTED_SIGNAL
Qwen3-8B,P3,64,label_shuffled,0.5000000000,0.6354166667,0.6666666667,0.0000000000,NO_DETECTED_SIGNAL
